Target_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
TMUE_1000005166.1,1294.03776321907,-2.21078722901592,0.301141178446034,2.13134799143679e-14,4.06226290000783e-13
TMUE_1000005177.1,863.270261082775,-4.91760497539159,1.57920619578541,6.56832855163595e-05,0.000364955322686624
TMUE_1000005181.1,283.295037351971,-1.77392421886383,0.275310255122093,1.97655125735963e-11,2.83980513534931e-10
TMUE_1000005214.1,21.7891542438343,-2.31786584832676,1.13927557859128,0.00264762548788871,0.00998071173428295
TMUE_1000005259.1,4096.0278661877,-1.06943506834029,0.121870781703402,5.31884686917843e-19,1.4367175723823e-17
TMUE_1000005285.3,34.4321176891721,-10.1855714055432,3.14817673344271,5.19293810855433e-11,7.10961243954557e-10
TMUE_1000005295.1,1180.02471602465,-4.25289779573817,0.274382530795718,2.52775904185735e-55,2.99417739543266e-53
TMUE_1000005326.1,367.331571777892,-3.70121365776929,0.52053564360221,1.13147814619539e-13,2.02614412495079e-12
TMUE_1000005327.1,2891.1748862007,-1.09852226593086,0.165265264468303,9.38199609413283e-12,1.38914351427109e-10
TMUE_1000005337.1,2079.54854730378,-1.14095676245827,0.169702434280784,5.0161079208439e-12,7.66850686063239e-11
TMUE_1000005340.1,4665.45709399945,-5.29148477803125,0.397112818466517,1.23755915183799e-41,8.95466443305035e-40
TMUE_1000005353.1,700.882478005911,-1.03127183954564,0.231366567445963,2.72983405535565e-06,1.95752360444808e-05
TMUE_1000005370.1,300.731147700659,-1.14236639156951,0.177927102021339,4.00007687012131e-11,5.55736135795915e-10
TMUE_1000005371.1,400.988851761679,-1.0565149739072,0.286685028730004,6.79832228131633e-05,0.000376687358283193
TMUE_1000005377.1,251.988348256175,-2.32285247448314,0.500500630942624,3.57763036266512e-07,2.97658101609667e-06
TMUE_1000005408.1,117.657719802754,-1.96433548458365,0.604310253063884,0.000125889352254746,0.000657015872031868
TMUE_1000005415.1,2104.99119388019,-1.31997709245185,0.160038125112914,3.92824255080082e-17,9.44609423005353e-16
TMUE_1000005416.1,909.473230846419,-1.00048475203664,0.122706712787258,1.21098002551698e-16,2.84776199824148e-15
TMUE_1000005436.1,1774.69470924409,-1.1464169928176,0.186642401126072,2.26750561597856e-10,2.8595963963023e-09
TMUE_1000005444.1,11491.0310887754,-1.82163539307937,0.106206545593592,9.8166188740255e-67,1.44016103132607e-64
TMUE_1000005477.1,783.446477810799,-1.32446480678455,0.230191293436448,1.97728875707905e-09,2.23139199113981e-08
TMUE_1000005491.1,58.4557913872241,-1.3470946391148,0.497144820427797,0.00115982831687721,0.00478751022591209
TMUE_1000005494.1,28210.830877292,-2.20075106496064,0.1592509827041,1.81399683023714e-44,1.48757042627293e-42
TMUE_1000005501.1,426.531360844072,-3.23832147997916,0.702068993861724,2.92328999156028e-07,2.45903894029671e-06
TMUE_1000005503.1,10401.4963854768,-1.83385480180833,0.114902158273812,3.5771059342197e-58,4.53980166619898e-56
TMUE_1000005506.1,895.17499445126,-3.9475528640822,0.477459813958445,1.06346863125541e-17,2.68232285211438e-16
TMUE_1000005507.1,11234.8543777093,-4.11133570096518,0.697260681077089,2.47858187795418e-10,3.09648459455978e-09
TMUE_1000005508.1,912.839543556883,-1.48406161958013,0.215138570637348,1.0080267484455e-12,1.66867036587908e-11
TMUE_1000005541.3,1293.15292733182,-1.73219854834847,0.161209078328429,8.7164466527622e-28,3.83979885466447e-26
TMUE_1000005541.5,432.563731002885,-2.08519742617417,0.789939724686782,0.000651108400575912,0.0028690753468199
TMUE_1000005552.1,1825.78515161932,-1.36701660925945,0.155617510523376,3.75979557895335e-19,1.01730780208195e-17
TMUE_1000005575.1,10036.5810982807,-1.44976424185115,0.0697418417152824,9.34554880572694e-97,2.98889341904759e-94
TMUE_1000005597.1,1711.98034934496,-1.21958942903809,0.150348485946091,1.25220940247398e-16,2.93608219280958e-15
TMUE_1000005599.1,268.850573317249,-1.41744164461822,0.229241933647067,1.09250132917556e-10,1.44262500040019e-09
TMUE_1000005618.1,1245.35889364981,-4.3559508306152,0.295189496489403,2.79423715987206e-50,2.84602843461874e-48
TMUE_1000005626.1,2001.66668550429,-1.38199596532154,0.20465179641695,3.0247876141135e-12,4.70519248417208e-11
TMUE_1000005627.1,131.983686497185,-1.48257438814614,0.215733082607506,1.18324282182433e-12,1.94662921438198e-11
TMUE_1000005645.1,467.404169103688,-1.01385397227717,0.182331721692282,9.10175781087174e-09,9.43879436794099e-08
TMUE_1000005656.1,1936.35889196843,-5.33755848414393,0.596930198539651,3.11370702902834e-20,8.93919014384062e-19
TMUE_1000005685.1,854.165177098544,-1.07054776521411,0.12091656711086,2.79517415000403e-19,7.64062048422469e-18
TMUE_1000005707.1,333.742992857567,-1.19298632859573,0.445638149216643,0.0016354428582425,0.00648942102882279
TMUE_1000005760.1,24.7559475285102,-2.25262127406018,0.986028095131671,0.00127387519052949,0.00519391590304872
TMUE_1000005761.1,105.074879359573,-2.54047831089319,0.444330093829197,7.96296071367871e-10,9.41832135890801e-09
TMUE_1000005767.1,149.441352686641,-1.73885506905799,0.282394710058631,1.3790431311499e-10,1.810531913811e-09
TMUE_1000005782.1,23.6255387680255,-2.564841346358,0.640550181674799,7.44165053495282e-06,4.96892053696561e-05
TMUE_1000005794.1,57.5940483358986,-1.3413003000136,0.419002005555942,0.000262561265302314,0.00127060936020319
