Target_ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
TMUE_2000006709.1,530.672769596445,1.12398741096643,0.167248482936742,4.78426246504781e-12,7.32807864737351e-11
TMUE_2000006719.1,326.639772611378,1.59815695956578,0.224303642764023,1.72707411044895e-13,3.03490572529551e-12
TMUE_2000006779.1,362.739132666493,1.03770604344533,0.371168972709589,0.0014091428141825,0.00568312805588709
TMUE_2000006802.1,552.787782873595,4.49878125493303,0.375527044447896,1.24999037515209e-34,7.01354248738847e-33
TMUE_2000006806.1,123.808847026931,1.3760408274311,0.232004876667703,5.71087515177745e-10,6.8922720416659e-09
TMUE_2000006857.1,54.6025188349347,1.8797119449619,0.641659174982155,0.000302700452758334,0.00144794583908421
TMUE_2000006858.1,25838.103584617,2.18927320826761,0.115475312430716,6.51509198061296e-81,1.40787616029705e-78
TMUE_2000006859.1,30825.4076432757,1.67255604234017,0.155535854246133,1.47562055233217e-27,6.42960442843154e-26
TMUE_2000006865.1,696.366062864684,1.4158989493603,0.195717843163792,9.47958147373725e-14,1.71479623695172e-12
TMUE_2000006867.4,2062.66301728844,1.29279828025815,0.26295717366153,1.91574630636135e-07,1.66402494215233e-06
TMUE_2000006871.4,256.811587503764,9.55630664934759,3.03104718029542,1.44839933457346e-05,9.22028413979464e-05
TMUE_2000006912.1,299.705421145035,1.71806062250643,0.270248942574295,2.97104747366468e-11,4.1932939233338e-10
TMUE_2000006930.1,210.229516650109,1.37135410696659,0.268284021924398,5.82156705791903e-08,5.42498128340229e-07
TMUE_2000006953.3,472.258737209603,1.05003899925951,0.319646910726061,0.000292759688044428,0.00140207252815767
TMUE_2000006958.1,181.312973679572,1.48739290728716,0.413893814553135,4.85171414192079e-05,0.000277952357040737
TMUE_2000006974.2,1955.5197417025,1.82959547842208,0.240526519209191,3.12211732395172e-15,6.39254521476466e-14
TMUE_2000006999.1,1208.68316674029,2.16045619299398,0.4015908288477,6.94730472110418e-09,7.34265365467131e-08
TMUE_2000007023.1,1240.20788258823,4.47656732561901,0.224335211862953,3.0127023818539e-90,9.08983467702373e-88
TMUE_2000007052.1,492.85244896932,1.54989297827723,0.236791557127106,9.75010028527267e-12,1.44097831480402e-10
TMUE_2000007058.1,1109.29838532583,4.35144437077143,0.186477904281762,1.42038720688289e-122,8.11193279473727e-120
TMUE_2000007076.1,182.956518534577,1.01533637052798,0.193937133427986,5.17764329167627e-08,4.86461186117481e-07
TMUE_2000007136.1,59.7266995905779,2.09919553900229,0.595673884751546,3.65101385066049e-05,0.000215198534780361
TMUE_2000007144.1,1468.49556138441,1.23086254571992,0.314933139363496,2.19024100282615e-05,0.000134449688584234
TMUE_2000007173.1,4521.79207155093,1.83200804830787,0.207938291254102,1.49509717039089e-19,4.17244308057953e-18
TMUE_2000007181.2,654.074096769845,2.94454386672659,0.512239956909177,5.47380764947484e-10,6.61115242618974e-09
TMUE_2000007182.2,448.390536151006,1.61277227506614,0.489179567338006,0.000123010518539082,0.000644304357012269
TMUE_2000007193.1,364.01324375101,2.03921897666403,0.304084199005336,1.67421371180502e-12,2.71379970880077e-11
TMUE_2000007219.1,103.823108643069,2.03487416889598,0.977418352727649,0.00208347014434779,0.00805920925937722
TMUE_2000007226.3,1134.3154205563,1.32729298484632,0.447048000619153,0.000551517920537046,0.00247247632949479
TMUE_2000007241.2,524.850911591481,1.13912844884749,0.428110663720321,0.00181094135460983,0.00709599686389754
TMUE_2000007241.3,315.771495778651,2.42744533325619,0.850111726130763,0.000231918197242748,0.0011362144277294
TMUE_2000007300.1,78.8154788063345,1.51351978077031,0.56366469339243,0.000955932124799584,0.00402589165332372
TMUE_2000007327.1,4923.8365369056,2.10685093012319,0.282677811226892,8.9435612186216e-15,1.76563564749355e-13
TMUE_2000007328.1,2725.1688488293,2.76682545589833,0.48883154159062,9.83963021163907e-10,1.15018659878889e-08
TMUE_2000007329.1,8975.17157614455,2.99923840868157,0.280094583970495,9.57972449203154e-28,4.19696916033086e-26
TMUE_2000007331.1,408.28501526101,1.948684361869,0.578873912123918,6.77103603597646e-05,0.000375435635406725
TMUE_2000007339.1,139.547714029876,2.46961955321204,0.439600373813795,1.43056406595031e-09,1.64104375743267e-08
TMUE_2000007353.1,700.599147241924,1.40777331209935,0.256892239542659,8.01378482200281e-09,8.39216981589044e-08
TMUE_2000007362.1,173.684438448991,4.74969340288149,0.681597698811382,1.98134916721626e-13,3.47029074840692e-12
TMUE_2000007383.1,1543.82393016769,4.27478025763809,0.295822406305225,9.56206498062402e-49,9.21126392199752e-47
TMUE_2000007419.1,16430.6700825921,1.3068307188791,0.296538043481982,2.64725918031831e-06,1.90514498435959e-05
TMUE_2000007454.1,303.262081574293,1.58386339694434,0.549705420204108,0.000470539750668527,0.00214248324400354
TMUE_2000007463.1,739.524069952109,1.48502860985431,0.190160859868122,1.07724536406159e-15,2.29072215647724e-14
TMUE_2000007464.1,2273.82134605395,1.17088422912974,0.24997343524295,6.97584350311902e-07,5.50052827704025e-06
TMUE_2000007471.1,2871.16907216981,1.31956887524105,0.142027585623608,3.4443362054761e-21,1.05111412713298e-19
TMUE_2000007475.1,1157.30627842637,1.22071304019545,0.185107631654468,1.0958368030099e-11,1.60471852719151e-10
TMUE_2000007479.1,11646.2984550941,2.25842960635994,0.159686410205265,2.58694462283295e-46,2.23609899803901e-44
TMUE_2000007503.1,22.6285693345564,2.19822081849776,0.812874573071992,0.00044884995013917,0.00206035466405203
TMUE_2000007513.1,848.480161606953,1.3857325086581,0.203882923544382,2.14139883241956e-12,3.40727450042001e-11
TMUE_2000007546.1,370.39858436443,1.31376829753215,0.198977307384735,8.82920694125304e-12,1.30972029867883e-10
TMUE_2000007584.1,1811.90931069468,1.27922614029531,0.124318902380951,1.90283774806145e-25,7.31449000703141e-24
TMUE_2000007621.1,7667.82256613886,1.3059018250396,0.159860923629219,3.79538543669795e-17,9.18184697704039e-16
TMUE_2000007630.1,539.104128434615,1.10707069928131,0.1363875540392,1.42603337202026e-16,3.32900724846364e-15
TMUE_2000007650.1,205.148172943548,1.17558996213928,0.251704014029595,7.30918206652889e-07,5.74919480697803e-06
TMUE_2000007705.1,355.561504011306,1.3934160236099,0.326902851466747,3.63010342142829e-06,2.54600806193244e-05
TMUE_2000007733.1,213.044928290186,1.12609241808033,0.357378323672464,0.000414877515809801,0.00192131663924545
